1,Barisal,Barisal,13297,7462643,8173718,8325666,9713000,4047083,4856500,809416
2,Barguna,Barisal,1831,775693,848554,892781,1013000,422083,506500,84416
3,Barisal,Barisal,2785,2207426,2355967,2324310,2776000,1156666,1388000,231333
4,Bhola,Barisal,3403,1476328,1703117,1776795,2057000,857083,1028500,171416
5,Jhalakati ,Barisal,749,666139,694231,682669,778000,324166,389000,64833
6,Patuakhali,Barisal,3221,1273872,1460781,1535854,1823000,759583,911500,151916
7,Pirojpur,Barisal,1308,1063185,1111068,1113257,1266000,527500,633000,105500
8,Chittagong,Chittagong,33771,20522908,24290384,28423019,34747000,14477916,17373500,2895583
9,Bandarban,Chittagong,4479,230569,298120,388335,469000,195416,234500,39083
10,Brahmanbaria,Chittagong,1927,2141745,2398254,2840498,3617000,1507083,1808500,301416
11,Chandpur,Chittagong,1704,2032449,2271229,2416018,2929000,1220416,1464500,244083
12,Chittagong,Chittagong,5283,5296127,6612140,7616352,8990000,3745833,4495000,749166
13,Comilla,Chittagong,3085,4032666,4595557,5387288,6559000,2732916,3279500,546583
14,Cox's Bazar,Chittagong,2492,1419260,1773709,2289990,2979000,1241250,1489500,248250
15,Feni,Chittagong,928,1096745,1240384,1437371,1754000,730833,877000,146166
16,Khagrachhari,Chittagong,2700,342488,525664,613917,738000,307500,369000,61500
17,Lakshmipur,Chittagong,1456,1312337,1489901,1729188,2223000,926250,1111500,185250
18,Noakhali,Chittagong,3601,2217134,2577244,3108083,3799000,1582916,1899500,316583
19,Rangamati,Chittagong,6116,401388,508182,595979,690000,287500,345000,57500
20,Dhaka,Dhaka,20551,23964789,29180051,36433505,42607000,17752916,21303500,3550583
21,Dhaka,Dhaka,1464,5839642,8511228,12043977,13798000,5749166,6899000,1149833
22,Faridpur,Dhaka,2073,1505686,1756470,1912969,2201000,917083,1100500,183416
23,Gazipur,Dhaka,1800,1621562,2031891,3403912,4046000,1685833,2023000,337166
24,Gopalganj,Dhaka,1490,1060791,1165273,1172415,1346000,560833,673000,112166
25,Kishoreganj,Dhaka,2689,2306087,2594954,2911907,3648000,1520000,1824000,304000
26,Madaripur,Dhaka,1145,1069176,1146349,1165952,1393000,580416,696500,116083
27,Manikganj,Dhaka,1379,1175909,1285080,1392867,1640000,683333,820000,136666
28,Munshiganj,Dhaka,955,1188387,1293972,1445660,1669000,695416,834500,139083
29,Narayanganj,Dhaka,700,1754804,2173948,2948217,3490000,1454166,1745000,290833
30,Narsingdi,Dhaka,1141,1652123,1895984,2224944,2685000,1118750,1342500,223750
31,Rajbari,Dhaka,1119,835173,951906,1049778,1201000,500416,600500,100083
32,Shariatpur,Dhaka,1182,953021,1082300,1155824,1385000,577083,692500,115416
33,Tangail,Dhaka,3414,3002428,3290696,3605083,4105000,1710416,2052500,342083
34,Mymensingh,Mymensingh,10569,8701186,9864665,10990913,13457000,5607083,6728500,1121416
35,Jamalpur,Mymensingh,2032,1874440,2107209,2292674,2713000,1130416,1356500,226083
36,Mymensingh,Mymensingh,4363,3957182,4489726,5110272,6378000,2657500,3189000,531500
37,Netrakona [Netrokona],Mymensingh,2810,1730935,1988188,2229642,2759000,1149583,1379500,229916
38,Sherpur,Mymensingh,1364,1138629,1279542,1358325,1607000,669583,803500,133916
39,Khulna,Khulna,22272,12688383,14705229,15687759,18217000,7590416,9108500,1518083
40,Bagerhat,Khulna,3959,1431332,1549031,1476090,1675000,697916,837500,139583
41,Chuadanga,Khulna,1177,807164,1007130,1129015,1299000,541250,649500,108250
42,Jessore,Khulna,2567,2106996,2471554,2764547,3182000,1325833,1591000,265166
43,Jhenaidah,Khulna,1961,1361280,1579490,1771304,2111000,879583,1055500,175916
44,Khulna,Khulna,4394,2010643,2378971,2318527,2650000,1104166,1325000,220833
45,Kushtia,Khulna,1601,1502126,1740155,1946838,2318000,965833,1159000,193166
